name,url,botanicalname
rakta_chandana,https://drive.google.com/file/d/1TlZfDZv6TELGMsX-Y1GWZ7oPoM4rvpCW/view?usp=drive_link,Pterocarpus santalinus Linn. f
kalasaka_kaidaryam,https://drive.google.com/file/d/1IrPWQDEobB6pQWthJ6iZmeUd49jvK2C4/view?usp=drive_link,Murraya Koenigi
Japa,https://drive.google.com/file/d/1uWzCopPdbPTL4_P33IFoX0X_eg8nLNLw/view?usp=drive_link,Hibiscus rosa-sinensis
jamun,https://drive.google.com/file/d/1SGuAA-m7cBN9hbPBOUNeG2_-bA25HN6k/view?usp=drive_link,Eugenia jambolana
jambira,https://drive.google.com/file/d/19zayjvlyBUUU8yWK2kV1qGg2zrWQ62xR/view?usp=drive_link,Citrus medica
gambhari,https://drive.google.com/file/d/1L3HqOaW1kS2aefKU4FyzVu6PMnsRBuWU/view?usp=drive_link,Gmelina arborea
eranda,https://drive.google.com/file/d/1r7dZCJiOUWLbvkOxOm3vw2eexYaImaei/view?usp=drive_link,Ricinus communis Linn.
durva,https://drive.google.com/file/d/1gxuMWKkqmp-RM8jbtPR74yXUlrmq1FCD/view?usp=drive_link,Cynodon dactylon
dronapushpi,https://drive.google.com/file/d/1I69IG6zbtMkfdWlJdIMwiSZiyKnYvauQ/view?usp=drive_link,Leucas cephalotes
chandana,https://drive.google.com/file/d/1RlTCeYvkx_cW9CwzCxmEUacZbUlrEPw0/view?usp=drive_link,Santalum album Linn.
bilwa,https://drive.google.com/file/d/1wAVezpbNqblvTM4NOoLQjwO3yrDli7ZF/view?usp=drive_link,Aegle marmolous
bhumiamalaki,https://drive.google.com/file/d/1YQ1IHq1yIg7kbW4F_6RU9C_u51k7ENjN/view?usp=drive_link,Phyllanthus niruri
asthishrngala,https://drive.google.com/file/d/1jWj3ps6Xm9p5G8OJcRZn22ezmeY7qYsf/view?usp=drive_link,Cissus quadrangularis
ashwatta,https://drive.google.com/file/d/1QEMVkQ40GHr688vjU9CE7Fw7UQ61dm_N/view?usp=drive_link,Ficus religiosa Linn.
arka,https://drive.google.com/file/d/1Nm0XUluhiQ3cfBT0TTjjrqscjhUdxqoE/view?usp=drive_link,Calotropis gigantea
aragwadha,https://drive.google.com/file/d/1HCUs7bY3m_2TKUA8TyMuBLAMOl0ZCRuJ/view?usp=drive_link,Cassia fistula
amra,https://drive.google.com/file/d/1TMFwM-lappXyUVvATLTMOQ0z0RhntM3x/view?usp=drive_link,Mangifera indica Linn
