filename,sanskritname,image,botanicalname,familyname,tamilname,malayalamname,hindiname,englishname,description,usefulpart,benefit,action,rasa,guna,virya,vipaka,karma,shortdesc
Palasa,Palasa,Palasha.jpg,Butea Monosperma,Fabaceae,பலாச,Chamatha,"Dhak, Tesu",Flame of the forest,It is the most important plan for the yagnya according to Vedic literature it's gum is also described in vedic text .,"Stem bark ,flowers,seeds","1. Krimighna
2.Dipana
3.Bhagna sandhanakara
4.Sangrahi
5.Arshoghna
6.Vrishya ","1. Antihelmintic
2.Laxative
3.Diuretic
4.Aphrodisiac","Katu,Tikta,Kashaya","Laghu,Snigdha",Usna,Katu,Vata kapha hara,"It is useful in treating diabetes, cancer, diarrhoea,dysentery, jaundice "
Aragwadha,Aragwadha,Aragwadha.webp,Cassia fistula ,Fabaceae,கொன்றை மரம் ,Kanikonna,Amaltas,Purging Cassia,Caraka emphasized it's utility in Kushta and described a chapter in its name Aragwadhadyam Adhyaya.,"Fruit pulp , flower ","1.Sramsana
2.Shulahara
3.Ruchya
4.Pramehahara
5.Virechaka","1. Purgative
2. Febrifuge","Madhura,Tikta","Mrudu,Guru,Snigdha",Sita,Madhura,Vata pitta shamaka,"the herb has cleansing ,detoxifying, mild laxative properties "
Amra,Amra,Amra.jpg,Mangifera indica Linn,Anacardiaceae,மாமரம் , Amaram,Aam,Mango tree,"1. Habit:

Large, evergreen tree, up to 30–40 m tall.

Trunk stout with rough, dark brown bark.

Crown dense and spreading.


2. Leaves:

Type: Simple, alternate, exstipulate.

Shape: Lanceolate, coriaceous (leathery).

Margin: Entire.

Venation: Pinnate, reticulate.

Color: Young leaves reddish, mature leaves dark green.


3. Inflorescence:

Large terminal panicle (branched cluster).

Flowers numerous, small, yellowish-white, fragrant.


4. Flower:

Bisexual or unisexual (polygamous condition).

Actinomorphic, pentamerous, complete, bracteate.

Calyx: 5 sepals, small, green, free.

Corolla: 5 petals, yellowish-white, free.

Androecium: Usually 5 stamens, but only 1–2 fertile, rest are staminodes.

Gynoecium: Superior ovary, monocarpellary, unilocular, oblique.


5. Fruit:

Drupe, large, fleshy, oval or kidney-shaped.

Epicarp: Smooth, thin skin (green, yellow, or red).

Mesocarp: Juicy, sweet pulp.

Endocarp: Hard, stony, enclosing single seed.


6. Seed:

Large, single, exalbuminous (without endosperm).

Embryo straight, with folded cotyledons.


7. Pollination & Dispersal:

Pollination: Mostly by insects (entomophilous).

Seed dispersal: By humans, animals, and naturally by gravity.


8. Economic Importance:

Fruits eaten fresh, used in pickles, juices, jams, and sweets.

Wood used for furniture and packing.

Leaves, bark, seed kernel used in Ayurveda.

Cultural significance in India (sacred, symbol of prosperity).
","Mula,patra,twak,puspa,phala,bija","1. Dāruņaka (Dandruff)

आम्रबीजस्य चूर्ण तु शिवाचूर्णसमं द्वयम् । दुग्धपिष्टः प्रलेपोऽयं दारुणं हन्ति दारुणम् ॥

(शा.सं. 3/11/20)

Powders prepared from seed of Amra (Mangifera indica) and Śiva (Terminalia chebula) is mixed with milk and paste is prepared. Application of this paste relieves Dāruņaka (Dandruff).

2. Chardi (Vomiting)

जम्बु आम्म्रयोः पल्लवं कषायं पिबेत् सुशीतं मधुसंयुतं वा । (च.चि. 20/30)

Decoction prepared from tender leaves of Amra (Mangifera indica) and Jambu (Syzigium cumini) cooled, added with honey and administered.","1. Antioxidant activity

Rich in polyphenols, mangiferin, quercetin, catechins → scavenges free radicals, protects against oxidative stress.


2. Anti-inflammatory activity

Extracts inhibit COX and LOX pathways, reducing production of inflammatory mediators.

Helps in arthritis, colitis, and general inflammatory conditions.


3. Immunomodulatory activity

Enhances both cellular and humoral immunity.

Mangiferin shows immune-boosting as well as immune-regulatory effects.


4. Antimicrobial & Antiviral

Active against bacteria (Staphylococcus aureus, E. coli, Salmonella).

Antiviral effect against HSV, HIV (via mangiferin).

Antifungal properties as well.


5. Antidiabetic activity

Mango leaf extracts improve glucose tolerance, enhance insulin secretion, and reduce blood sugar levels.

Mangiferin acts as an α-glucosidase and aldose reductase inhibitor.


6. Hepatoprotective activity

Protects liver cells from toxin-induced injury.

Reduces serum transaminases, promotes regeneration.


7. Cardioprotective & Hypolipidemic

Reduces cholesterol, LDL, triglycerides.

Antioxidant effect protects myocardium.


8. Anti-cancer activity

Mangiferin, quercetin show cytotoxicity against tumor cells.

Induce apoptosis, inhibit angiogenesis.


9. Gastroprotective activity

Used in dysentery, diarrhea, gastritis.

Bark and leaf extracts show anti-ulcer activity.


10. Analgesic activity

Reduces pain perception by inhibiting inflammatory mediators.


11. Other actions

Diuretic (increases urine output).

Anthelmintic (bark decoction).

Wound healing (leaf and bark extracts).

Neuroprotective (prevents memory impairment, oxidative damage in CNS).


📌 Key Phytoconstituents:

Mangiferin (xanthone glycoside, major bioactive)

Polyphenols (quercetin, kaempferol, catechins, gallic acid)

Triterpenoids, carotenoids, vitamins",1.Pakwa phala- Madhura 2.Apakwa phala -amla 3.twak -kashaya,"1.Apakwa and twak- laghu, ruksa 2.Pakwa phala-Guru, snigdha ",Sita ,1.pakwa phala-Madhura vipaka 2.apakwa phala-amla vipaka 3.Twak- katu vipaka,1.pakwa phala- vatapitta shamaka 2.apakwa phala-tridosakaraka 3.twak-kapha pitta shamaka, To treat high blood pressure and chest pain (angina) by relaxing blood vessels and slowing the heart rate
Sahadevi,Sahadevi,Sahadevi.jpg,Vernonia cinerea,Conpostiaceae,Naichotte poonde,Puvanakodental,Sahadebi,Little ironweed,Sahadevi is a small plant found all over India in temperate climate.,Root,"1. Nidrakara
2. Grahi","1.Anti inflammatory 
2. Anti oxidant 
3. Diuretic 
4. Anti pyretic",Tikta,"Laghu, Ruksha",Ushna,Katu,Kapha vata shamaka,"to treat urinary problems,skin problems,skin issues,and diarrhoea .This plant is used for soil erosion control,attracting beneficial insects and a blood purifying properties "
SwethaChandana,Swetha Chandana,Chandana.jpg,Santalum album ,Santalaceae ,சந்தனம் ,Chandanam,Chandan,Sandalwood,"Chandana"" primarily refers to Indian sandalwood (Santalum album), a valuable aromatic wood used in Ayurvedic medicine for its beautifying and therapeutic properties.",Heartwood,"1.Vishaghna
2.Vrushya
3.krimighna
4. Dahahara
4. Rakta prasadana","1. Anti ulcer
2. Anti inflammatory
3. Anti bacterial 
4. Anti oxidant ","Tikta , Madhura","Laghu, Ruksha",Shita,Katu,"Kapha , pitta hara","For its fragrant wood in perfumes, incense, and religious ceremonies, and in traditional medicines for its antiseptic, anti-inflammatory, and sedative properties. The essential oil has applications in cosmetics, aromatherapy, and treating skin conditions, like psoriasis and atopic dermatitis "
RaktaChandana,Rakta Chandana,RaktaChandana.jpg,Pterocarpus santalinus ,Fabaceae ,சிவப்பு சந்தனம் ,Chowpu Chandanam,Lal chandan,Red sandalwood,"Rakta Chandana, or Red Sandalwood, is a tree native to the Eastern Ghats of India, prized for its rich red, non-aromatic heartwood, which is used medicinally in Ayurveda and in modern skincare for its healing and anti-inflammatory properties. ",Heartwood,"1. Varnya 
2. Chakshushya 
3. Vrushya","1. Anti viral
2. Anti oxidant 
3. Anti bacterial 
4. Anti inflammatory ","Tikta, Madhura","Laghu, Ruksha",Shita,Katu,"Kapha , pitta hara","Treating acne and blemishes, reducing skin tan and dullness, managing digestive issues like dysentery, offering anti-inflammatory and anti-oxidant effects, and serving as a spiritual aid in meditation."
Japa,Japa,Japa.jpg,Hibiscus rosa-sinensis,Malvaceae,செம்பருத்தி ,Chenbaruthi,Gudhal,China rose,"Japa is the meditative repetition of a sacred sound or divine name, or a mantra, a practice found in various spiritual traditions including Hinduism, Buddhism, and Sikhism. ","Leaf, Flower","1.Keshya
2.sangrahi
3.sthambaka","1.Anti fertility 
2. Analgesic
3. Hypotensive","Kashaya,Tikta","Laghu, Ruksha",Sheeta,Katu,"Kapha , pitta shamaka ","Primarily used  for hair care, skin health, and treating conditions like digestive issues, inflammation, and urinary disorders. Its flowers and leaves promote hair growth, nourish the scalp, and can be used as natural hair dyes. The plant also has potential benefits for skin, including anti-aging effects, and is used internally for various ailments"
Bilva,Bilva,Bilvam.jpg,Aegle marmelos,Rutaceae,வில்வம் ,Koovalam,Bel,Golden apple,"Bilva, botanically known as Aegle marmelos and commonly called Bael or Golden Apple, is a sacred and medicinal tree from India, belonging to the Rutaceae family. It holds significant spiritual importance, especially in Hinduism, where its trifoliate leaves, called ""Tri-patra,"" are offered to Lord Shiva during prayers. In traditional Ayurveda, the tree's bark, leaves, roots, and fruit are used to treat various ailments, possessing anti-toxic, digestive, and anti-microbial properties, and recent research highlights its potential anti-cancer and liver-protective effects due to compounds like coumarins and scoparone.",Root,"1. Sangrahi
2. Deepana
3. Chardighna","1. Anti inflammatory 
2. Anti pyretic
3. Laxative ","Katu, tikta, kashaya ",Snigdha,Ushna,Katu,"Kapha,vata hara"," To treat diarrhea, gastric ulcers, fever, and respiratory disorders"
Saireyaka,Saireyaka,Barleria_prionitis.jpg,Barleria prionitis Linn. ,Acanthaceae,செம்மூலி ,Chemmulli,Katsareya,"Yellow nail-dye plant, Hop headed barleria","Saireyaka is a small shrub growing to a height of 1-1.5 m in height and is found in the temperate climate throughout India and is grown in the garden for its flowers. The plant has small, sharp spikes. The flowers are yellow and are found in clusters. Single seed is found in the small fruits.
The color of the flower may be white, yellow, red or blue depending upon the subspecies of the plant.",Whole plant especially leaf,"Indications
Uses as per Ayurveda:
Kesharanjana – used in colouring hair
Keshya – Improves hair strength, promotes hair growth
Vrushya – aphrodisiac, improves vigor
Balya – improves strength and immunity

Indicated in –
Vatasra – Gout
Kushta – skin diseases
Kandu – itching,  pruritus
Visha – Toxic conditions, poisoning","Nervous System – Strengthen the nervous.

Circulatory System – Indicated in vatarakta, Upadamsa, whole body edema etc.
Respiratory system – Indicated in running nose, kaphaja kasa, especially for children.
Reproductive system – Sukrasodhaka (Purifies semen) – Leaf juice of white variety of plant along with cumin seed powder is indicated in Sukrameha.","Tikta (Bitter), Madhura (Sweet)",Laghu (Light for digestion),Ushna (Hot),Katu (Undergoes Pungent taste after digestion),Kaphavata shamaka (reduces vitiated kapha and vata dosha),"used in Ayurveda for oral care, dental issues like toothache and bleeding gums, as well as for treating fevers, inflammations, boils, glandular swellings, and digestive disorders"
Kewda,Kewda,Pandanus-odoratissimus-Linn-Kewda.jpg,Pandanus odorifer,Pandanaceae,Javnana chedi,"Kaithal,Pokaitha","Kevada, Kewda, Kewra, Kevra","Screw pine, Palau Fruit, Screw Pine, Pandanus Tectorius or Pandanus Odoratissimus. The Native Fruit in Palau.","It is a small branched, palm – like tree growing to a height of 3 – 4 m, with a flexuous trunk supported by brace roots. The trunk of the tree is twisted, having a shoot-like appearance touching the ground. The leaves grow in clusters at the branch tips, 40 – 70 cm in length with rosettes of sword – shaped, stiff (leather – like) and spiny bluish – green, fragrant leaves. The tree bears very fragrant white colored flowers in clusters, used as perfume. The fruits are oval to round in shape 4 – 6 inches in diameter. The tree is found all over India in the temperate climate.","Root, Flower","Katu –pungent, spicy
Tikta – bitter
Laghu – light to digest
Ushna – hot
Balances Kapha and vata Dosha
Golden yellow coloured flowers are considered to be of superior quality.
Meals is served in its leaf to treat Granthi – tumour, fibroid",Anti- inflammatory action,"Tikta (Bitter) Madhura (Sweet), Katu ( Pungent)","Laghu (Light for digestion), Snigdha (Slimy in nature)",Ushna (Hot),Katu (Undergoes Pungent taste after digestion),Kaphapitta shamaka (reduces vitiated kapha and pitta dosha),"Traditional Ayurvedic medicine utilizes various parts of the plant to treat diverse ailments like diabetes, headaches, joint pain, and skin conditions."
Sahadevi,Sahadevi,"51BFR3cf3TL._UF1000,1000_QL80.jpg",Vernonia cineria Less. ,Compositae,Naichotte poonde,Puvanakodantel,"Sahadevi, Sahdebi, Sahadebi","Purple fleabane, Little ironweed","Sahadevi is a small shrub found all over India in the temperate climate, growing to a height of 0.5 feet to 3 feet. The leaves have a hairy surface beneath and the flowers are purple or pink colored blooming in the rainy season.",Root,"Nidrakara – induces sleep
Grahi – absorbent, useful in diarrhea, IBS
Sameerajit – Vatahara – useful in treating disorders of Vata Dosha imbalance  such as neuralgia, paralysis, constipation, bloating, etc

Indicated in –
Asrapitta – Bleeding disorders such as nasal bleeding, heavy periods, etc
Shukrakara – Shukrala – improves sperm and semen quantity and quality
Kshata – injury, bleeding
Vishamajwara – Intermittent fever
Sidhma Kushta – skin disease
Usage of Sahadevi in fever:","Cyto protective effect, Anti oxidant effect, 
Anti diarrheal effect.",Tikta (Bitter),"Laghu (Light for digestion), Ruksha (Dry in nature)",Ushna (Hot),Katu (Undergoes Pungent taste after digestion),Kaphavata shamaka (reduces vitiated kapha and vata dosha),
SugamCheddi,Sugam Cheddi,Azima_tetracantha.jpg,Azima tetracantha,SALVADORACEAE,"Ichanku, Iyanku,  Kundali , Trikantajata.","Essanku, Yeshenku, or Sankukuppi.",Kanta-gur-kamai or Kantagur-kamai.,"Needle Bush, Mistletoe Berrythorn, Azima, Needle Bush, Bee-sting Bush, Sting Bush","	A dense low-bush. Leaves on main stems 2.5-6.5 cm long, on flowering twigs smaller; petiole short, with two sharp divariate spines. Flowers sessile; male flowers crowded in fascicles; female flowers solitary. Fruit a drupe, 2.5 mm diameter, globose, white.","leaves, roots, and root bark","diuretic, analgesic, anti-inflammatory, and antispasmodic agent, with treatments for rheumatism, dropsy, cough, and asthma","antimicrobial, antioxidant, anti-inflammatory, and antivenom activities, with potential applications in treating pain, inflammation, diabetes, and even venom toxicity","Tikta (Bitter), Madhura (Sweet)",Laghu (Light),Ushna (Hot),Madhura (Sweet),"Kapha, Vata balance"," used for treatment of asthma, rheumatism, diabetes, and snakebite."
Arjuna,Arjuna,Arjuna.jpg,Terminalia arjuna ,Combretaceae ,மருது ,Marutu,Arjan,White Murdah ,"A tall, evergreen tree with smooth, grey bark that flakes off in large sheets. Leaves are green, oblong, with pale undersides. Flowers are small, white-yellowish, and fruits are woody, 5-winged.",Twak,"Strengthens the heart muscles and improves cardiac function.

Helps in angina, hypertension, and high cholesterol.

Acts as a natural antioxidant and improves blood circulation.

Promotes wound healing and bone fracture recovery.

Reduces inflammation and supports liver health.

Useful in urinary disorders and as a mild diuretic.","Cardiotonic, Antidysentric, diuretic, Antihypertensive ",Kashaya ,"Laghu,ruksha",Shitha,Katu,Kapha pitta shamaka," It has most often been studied for cardiovascular disease, where it has improved heart failure in some studies. "
Jambu,Jambu,jambu.jpg,Eugenia jambolana,Myrtaceae,நாவல்,Naval,Jaman,Black plum,"Medium to large evergreen tree with glossy leaves, white fragrant flowers, and purple-black edible fruits","Beeja,phala,twak,patra","Controls diabetes, improves digestion, acts as blood purifier, beneficial in diarrhea, dysentery, excessive thirst, and skin disorders.","Anti diarrhoeal,antidiabetic,anti inflammatory,anti viral,anti pyretic",Kashaya madhura amla,"Laghu,ruksha",Shita,Katu,Kapha pitta shamaka ," Is used in traditional medicine to treat various ailments, with its seeds and other parts being popular for their antidiabetic effects. "
Jambira,Jambira,jambira.jpg,Citrus limon,Rutaceae,எலுமிச்சை ,Cherunaranga,Nimbu,Lemon,"Small thorny tree with fragrant white flowers and yellow, sour fruits.","Fruit, juice, rind, seeds","Improves digestion and relieves nausea.

Acts as Deepana (appetizer) and Pachana (digestive).

Useful in Kapha disorders, cough, and throat irritation.

Natural source of Vitamin C – boosts immunity.

Helps in detoxification and reducing skin blemishes.","Deepana ,pachana,ruchikara,kasahara ","Amla,madhura","Laghu,snigdha",Ushna,Amla,Kapha vatahara,"culinary applications as a flavoring, garnish, and preservative; cosmetic uses for skin, hair, and teeth; and medicinal uses to treat scurvy (due to vitamin C), aid digestion, prevent kidney stones (via citric acid), and potentially help with weight loss."
